name,artist,album,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
XXX. FEAT. U2.,Kendrick Lamar,DAMN.,2017-04-14,71,0.568,0.619,1,-6.899,1,0.414,0.138,1.67e-06,0.11,0.293,170.115,254200,4
Dollhouse (with Lily Rose Depp),The Weeknd,The Idol Episode 5 Part 2 (Music from the HBO Original Series),2023-07-03,64,0.404,0.538,7,-8.932,0,0.0314,0.0022,0.000495,0.347,0.0387,96.969,239784,4
Chamber Of Reflection,Mac DeMarco,Salad Days,2014-04-01,84,0.538,0.557,11,-8.678,1,0.0914,0.262,0.914,0.102,0.506,131.03,231724,4
Weak for Your Love,Thee Sacred Souls,Thee Sacred Souls,2022-08-26,69,0.744,0.422,11,-9.2,0,0.033,0.146,0.00145,0.0779,0.562,127.726,261307,4
Hypotheticals,Lake Street Dive,Obviously,2021-03-12,63,0.69,0.664,1,-6.488,1,0.0562,0.00753,0.00762,0.0496,0.383,164.145,230178,4
bigger thën everything,Yeat,bigger thën everything,2023-08-10,73,0.684,0.63,10,-6.143,0,0.0589,0.0171,0.000927,0.194,0.177,149.947,218264,4
VALENTINO,24kGoldn,DROPPED OUTTA COLLEGE,2019-11-22,74,0.746,0.717,9,-4.841,0,0.179,0.199,0.0,0.132,0.523,150.964,179133,4
Upside Down,Jack Johnson,Jack Johnson And Friends: Sing-A-Longs And Lullabies For The Film Curious George,2006,67,0.787,0.655,6,-8.339,0,0.0431,0.238,0.000171,0.138,0.65,102.485,208653,4
Party Like A Rock Star,SHOP BOYZ,Rockstar Mentality,2007-01-01,64,0.619,0.709,7,-4.633,1,0.0395,0.00541,0.0,0.507,0.68,144.972,253400,4
Journey To The Real World (From Barbie The Album),Tame Impala,Journey To The Real World (From Barbie The Album),2023-07-21,53,0.541,0.863,9,-5.992,0,0.0333,0.078,0.0433,0.117,0.492,123.946,87827,4
Eventually,Tame Impala,Currents,2015-07-17,80,0.424,0.615,9,-6.217,0,0.0325,0.0158,0.000389,0.0844,0.155,77.935,318591,4
Wash Us In The Blood,Kanye West,Wash Us In The Blood,2020-06-30,60,0.67,0.847,10,-4.85,1,0.409,0.184,0.0,0.304,0.381,137.22,189827,4
Trance (with Travis Scott & Young Thug),Metro Boomin,HEROES & VILLAINS,2022-12-02,89,0.571,0.549,1,-7.38,0,0.404,0.18,0.0,0.168,0.447,119.497,194787,4
I’m Just Ken (From Barbie The Album),Ryan Gosling,I’m Just Ken (From Barbie The Album),2023-07-21,67,0.352,0.628,1,-6.259,1,0.0428,0.0264,4.74e-05,0.0952,0.387,140.431,222634,4
MODERN JAM (feat. Teezo Touchdown),Travis Scott,UTOPIA,2023-07-28,77,0.517,0.539,9,-6.474,0,0.038,0.000564,1.4e-05,0.537,0.531,108.984,255413,4
LOOOVE (feat. Kid Cudi),Travis Scott,UTOPIA,2023-07-28,75,0.678,0.739,3,-4.358,1,0.044,0.0712,0.0,0.388,0.108,110.967,226715,4
CIRCUS MAXIMUS (feat. The Weeknd & Swae Lee),Travis Scott,UTOPIA,2023-07-28,76,0.682,0.764,1,-6.314,1,0.0327,0.000779,0.0089,0.373,0.248,125.018,258843,4
I KNOW ?,Travis Scott,UTOPIA,2023-07-28,92,0.927,0.619,5,-4.441,0,0.0539,0.0186,0.0,0.104,0.817,117.995,211582,4
TOPIA TWINS (feat. Rob49 & 21 Savage),Travis Scott,UTOPIA,2023-07-28,84,0.715,0.567,1,-4.481,0,0.0865,0.06,0.0,0.0655,0.332,160.098,223174,4
DELRESTO (ECHOES) (feat. Beyoncé),Travis Scott,UTOPIA,2023-07-28,73,0.674,0.609,2,-6.306,0,0.045,0.461,0.0,0.328,0.509,116.066,274138,4
SIRENS,Travis Scott,UTOPIA,2023-07-28,77,0.588,0.88,9,-6.117,0,0.0747,0.0976,0.000167,0.767,0.242,96.003,204447,3
GOD'S COUNTRY,Travis Scott,UTOPIA,2023-07-28,77,0.624,0.65,2,-5.819,1,0.0358,0.0229,1.21e-05,0.145,0.138,150.048,127992,4
MELTDOWN (feat. Drake),Travis Scott,UTOPIA,2023-07-28,87,0.557,0.774,7,-5.275,0,0.351,0.012,0.0,0.396,0.397,111.975,246134,4
Can You Hear The Music,Ludwig Göransson,Oppenheimer (Original Motion Picture Soundtrack),2023-07-21,77,0.19,0.435,4,-12.456,0,0.0334,0.233,0.938,0.1,0.0643,138.515,110160,4
MY EYES,Travis Scott,UTOPIA,2023-07-28,91,0.455,0.621,0,-7.694,0,0.0517,0.651,2.59e-06,0.123,0.28,119.043,251250,4
THANK GOD,Travis Scott,UTOPIA,2023-07-28,81,0.657,0.553,10,-7.08,0,0.0394,0.254,0.0,0.129,0.576,134.925,184889,4
HYAENA,Travis Scott,UTOPIA,2023-07-28,79,0.608,0.754,8,-5.277,1,0.0719,0.0305,0.0,0.119,0.455,97.071,222085,4
FE!N (feat. Playboi Carti),Travis Scott,UTOPIA,2023-07-28,93,0.569,0.882,3,-2.777,0,0.06,0.0316,0.0,0.142,0.201,148.038,191701,4
TELEKINESIS (feat. SZA & Future),Travis Scott,UTOPIA,2023-07-28,87,0.458,0.535,5,-4.854,0,0.0281,0.575,0.0,0.168,0.216,82.826,353755,4
TIL FURTHER NOTICE (feat. James Blake & 21 Savage),Travis Scott,UTOPIA,2023-07-28,81,0.65,0.659,3,-6.522,0,0.123,0.174,0.00772,0.126,0.154,76.985,314836,4
LOST FOREVER (feat. Westside Gunn),Travis Scott,UTOPIA,2023-07-28,74,0.645,0.803,1,-4.223,1,0.227,0.085,0.0,0.101,0.314,89.499,163072,4
SKITZO (feat. Young Thug),Travis Scott,UTOPIA,2023-07-28,77,0.472,0.551,5,-7.219,0,0.25,0.103,0.0,0.345,0.347,83.25,366593,4
CITY OF ANGELS,24kGoldn,DROPPED OUTTA COLLEGE,2019-11-22,72,0.686,0.541,0,-4.993,0,0.0493,0.042,0.0,0.0675,0.724,120.082,112493,4
Umbrella,Rihanna,Good Girl Gone Bad,2007-01-01,76,0.583,0.829,1,-4.603,1,0.134,0.00864,0.0,0.0426,0.575,174.028,275987,4
Only Girl (In The World),Rihanna,Loud (Japan Version),2010-01-01,87,0.789,0.706,11,-4.233,0,0.0429,0.112,1.71e-05,0.0586,0.638,125.911,235493,4
Me Gustas Tu,Manu Chao,Próxima Estación: Esperanza,2001-06-01,84,0.657,0.741,11,-6.822,0,0.0825,0.663,0.494,0.222,0.908,175.949,239987,4
Flooded The Face,Lil Uzi Vert,Pink Tape,2023-06-30,77,0.64,0.609,1,-7.714,0,0.304,0.492,2.47e-06,0.152,0.393,131.889,192727,4
Passionfruit,Drake,More Life,2017-03-18,87,0.809,0.463,11,-11.377,1,0.0396,0.256,0.085,0.109,0.364,111.98,298941,4
"False Idols (with Lil Baby, Suzanna Son)",The Weeknd,The Idol Episode 5 Part 1 (Music from the HBO Original Series),2023-06-30,71,0.676,0.608,9,-4.972,0,0.0329,0.213,0.0,0.104,0.118,119.993,262230,4
Endless Fashion (feat. Nicki Minaj),Lil Uzi Vert,Pink Tape,2023-06-30,71,0.731,0.605,1,-5.01,1,0.19,0.067,7.7e-06,0.177,0.413,132.946,216704,4
Day 'N' Nite (nightmare),Kid Cudi,Man On The Moon: The End Of Day (Deluxe),2009-01-01,75,0.881,0.441,11,-6.278,0,0.0646,0.48,9.08e-06,0.119,0.804,138.014,221240,4
Soundtrack 2 My Life,Kid Cudi,Man On The Moon: The End Of Day (Deluxe),2009-01-01,66,0.464,0.754,9,-6.653,0,0.128,0.465,1.57e-05,0.37,0.444,86.501,235627,4
Alive (Nightmare),Kid Cudi,Man On The Moon: The End Of Day (Deluxe),2009-01-01,60,0.71,0.808,6,-4.877,0,0.0418,0.27,0.0,0.208,0.698,101.784,246760,4
Dog Days Are Over,Florence + The Machine,Lungs (Deluxe Edition),2009,79,0.492,0.81,7,-5.315,1,0.0847,0.0416,0.00379,0.117,0.245,149.954,251840,4
In the Meantime,Spacehog,Resident Alien,1995,70,0.269,0.895,9,-6.382,1,0.118,0.083,0.00266,0.153,0.16,168.479,299507,4
Crazy On You,Heart,Dreamboat Annie,1975,74,0.427,0.459,9,-12.442,0,0.0332,0.116,0.000103,0.132,0.383,129.878,293440,4
Mona Lisa (Spider-Man: Across the Spider-Verse),Dominic Fike,Mona Lisa (Spider-Man: Across the Spider-Verse),2023-06-02,73,0.759,0.646,1,-7.603,1,0.12,0.231,0.0,0.161,0.445,111.043,186067,4
Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),Metro Boomin,METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),2023-06-02,78,0.775,0.298,9,-9.351,1,0.0517,0.211,0.000233,0.132,0.0472,120.091,189467,4
Jonesboro,Young Thug,BUSINESS IS BUSINESS,2023-06-23,59,0.567,0.66,9,-6.357,0,0.317,0.51,1.14e-05,0.186,0.262,108.81,163800,5
Want Me Dead (feat. 21 Savage),Young Thug,BUSINESS IS BUSINESS,2023-06-23,63,0.84,0.61,6,-8.28,0,0.366,0.162,0.0,0.144,0.556,133.233,194707,4
Oh U Went (feat. Drake),Young Thug,BUSINESS IS BUSINESS,2023-06-23,76,0.808,0.789,7,-5.88,0,0.236,0.0517,0.0,0.0819,0.465,136.01,185333,4
Under Enemy Arms,Trippie Redd,!,2019-08-09,9,0.751,0.756,9,-5.453,0,0.0375,0.257,0.0,0.0582,0.644,129.954,162528,4
Everything BoZ,Trippie Redd,!,2019-08-09,41,0.714,0.535,9,-7.896,1,0.0542,0.193,0.0,0.184,0.0974,139.944,205701,4
Family (with Suzanna Son),The Weeknd,The Idol Episode 2 (Music from the HBO Original Series),2023-06-12,57,0.406,0.348,9,-7.086,0,0.0285,0.863,0.000302,0.12,0.105,139.209,183885,3
A Lesser Man,The Weeknd,The Idol Episode 3 (Music from the HBO Original Series),2023-06-19,68,0.501,0.526,9,-8.512,0,0.0332,0.00909,0.00063,0.316,0.161,140.119,298617,4
fukumean,Gunna,a Gift & a Curse,2023-06-16,91,0.847,0.622,1,-6.747,0,0.0903,0.119,0.0,0.285,0.22,130.001,125040,4
They Don't Love It,Jack Harlow,Jackman.,2023-04-28,73,0.536,0.814,1,-5.407,1,0.306,0.0388,0.0,0.142,0.851,96.7,113292,4
Cudi Zone,Kid Cudi,Man On The Moon: The End Of Day (Deluxe),2009-01-01,62,0.706,0.691,9,-5.86,0,0.0338,0.546,1.3e-06,0.366,0.597,134.751,259040,4
JACKIE BROWN,Brent Faiyaz,WASTELAND,2022-07-08,81,0.726,0.353,10,-10.273,1,0.105,0.65,0.002,0.224,0.503,137.66,169014,4
All My Life (feat. J. Cole),Lil Durk,Almost Healed,2023-05-26,75,0.787,0.57,3,-5.881,1,0.225,0.0449,0.0,0.135,0.733,142.974,223879,4
Crew (feat. Brent Faiyaz & Shy Glizzy),GoldLink,At What Cost,2017-03-24,79,0.728,0.607,1,-8.417,0,0.132,0.133,0.0,0.0864,0.445,129.938,176702,4
Jigsaw,Key Glock,Jigsaw,2022-11-16,66,0.755,0.839,1,-5.591,1,0.0667,0.00485,0.0,0.303,0.262,160.023,152893,4
Titanium (feat. Sia),David Guetta,Nothing but the Beat 2.0,2011-08-24,73,0.604,0.788,0,-3.673,0,0.103,0.0678,0.153,0.127,0.301,126.06,245040,4
Poker Face,Lady Gaga,The Fame,2008-01-01,81,0.851,0.806,4,-4.62,1,0.0787,0.118,1.64e-06,0.121,0.787,118.999,237200,4
Bad Romance,Lady Gaga,The Fame Monster (Deluxe Edition),2009-11-05,87,0.696,0.921,0,-3.755,1,0.0363,0.00314,5.24e-05,0.0842,0.714,119.001,294573,4
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),The Weeknd,Popular [The Idol Vol. 1 (Music from the HBO Original Series)],2023-06-02,40,0.852,0.675,1,-6.271,1,0.197,0.0652,3.74e-05,0.36,0.83,99.012,215467,4
Cornfield Chase,Hans Zimmer,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],2014-11-18,78,0.18,0.226,9,-16.457,0,0.042,0.951,0.982,0.0998,0.048,94.079,126960,4
Scared of the Dark (feat. XXXTENTACION),Various Artists,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),2018-12-14,73,0.443,0.623,0,-6.717,0,0.0718,0.0468,0.0,0.247,0.156,79.365,233000,4
Sunflower - Spider-Man: Into the Spider-Verse,Various Artists,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),2018-12-14,86,0.76,0.479,2,-5.574,1,0.0466,0.556,0.0,0.0703,0.913,89.911,158040,4
The Batman,Michael Giacchino,The Batman (Original Motion Picture Soundtrack),2022-02-24,60,0.209,0.152,10,-16.519,0,0.0324,0.5,0.903,0.103,0.0482,80.136,407533,4
What's Up Danger (with Black Caviar),Various Artists,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),2018-12-14,75,0.701,0.755,2,-5.82,1,0.0417,0.00363,0.000795,0.121,0.116,95.036,222307,4
"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)",Metro Boomin,METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),2023-06-02,79,0.631,0.535,0,-7.836,1,0.0842,0.464,0.0,0.115,0.22,140.127,219453,4
Danger (Spider) (Offset & JID),Metro Boomin,METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),2023-06-02,68,0.833,0.686,11,-6.39,1,0.117,0.0421,0.000128,0.227,0.252,143.427,205267,4
"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)",Metro Boomin,METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),2023-06-02,71,0.774,0.549,9,-7.297,0,0.154,0.178,0.00151,0.22,0.28,135.016,245240,4
"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)",Metro Boomin,METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),2023-06-02,79,0.611,0.483,11,-6.216,0,0.055,0.214,0.0,0.124,0.204,145.983,231747,4
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)",Metro Boomin,METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),2023-06-02,82,0.599,0.526,9,-7.812,0,0.0385,0.0408,0.00256,0.209,0.134,90.018,256027,4
Intro,The xx,xx,2009-08-18,68,0.617,0.778,9,-8.872,0,0.027,0.459,0.925,0.128,0.152,100.363,127920,4
"Bitch, Don’t Kill My Vibe",Kendrick Lamar,"good kid, m.A.A.d city",2012,74,0.587,0.698,1,-8.948,1,0.0943,0.0152,0.0,0.442,0.0985,133.954,310720,4
I'm On One,DJ Khaled,We The Best Forever,2011-01-01,73,0.413,0.807,11,-3.499,0,0.318,0.0536,0.0,0.631,0.438,149.33,296147,4
Tell The Vision (feat. Kanye West & Pusha T),Pop Smoke,Faith,2021-07-16,63,0.662,0.686,7,-8.302,1,0.332,0.251,5.59e-06,0.349,0.678,143.971,215000,4
Came and Saw (feat. Rowdy Rebel),Young Stoner Life,Slime Language 2,2021-04-16,63,0.771,0.817,2,-6.791,1,0.214,0.306,0.0,0.155,0.554,123.952,174413,4
Jumpman,Drake,What A Time To Be Alive,2015-09-20,74,0.852,0.553,1,-7.286,1,0.187,0.0559,0.0,0.332,0.656,142.079,205879,4
Diamonds Dancing (feat. Travis Scott),Young Stoner Life,Slime Language 2,2021-04-16,60,0.851,0.703,4,-7.351,0,0.303,0.00949,2.57e-05,0.0895,0.596,74.017,242600,4
Some Way,NAV,NAV,2017-02-24,73,0.744,0.715,0,-6.103,1,0.351,0.101,0.0,0.0919,0.34,154.962,179773,4
20 Min,Lil Uzi Vert,Luv Is Rage 2 (Deluxe),2017-11-17,84,0.773,0.75,8,-4.009,0,0.117,0.109,0.0,0.174,0.783,123.426,220587,4
Can't Relate,Dyzphoria,Can't Relate,2023-01-22,49,0.461,0.859,5,0.29,1,0.358,0.00624,0.0445,0.114,0.295,161.04,172919,4
FLIP THE SWITCH (feat. Drake),Quavo,QUAVO HUNCHO,2018-10-12,66,0.853,0.637,3,-5.924,0,0.331,0.129,0.0,0.267,0.496,86.048,156195,4
Lean on Me,Bill Withers,Still Bill,1972-05-01,74,0.619,0.22,0,-13.843,1,0.0672,0.782,1.19e-05,0.124,0.426,75.143,258835,4
Lovely Day,Bill Withers,Menagerie,1977-10-29,81,0.692,0.651,9,-8.267,1,0.0324,0.292,0.00241,0.105,0.706,97.923,254560,4
In The Night,The Weeknd,Beauty Behind The Madness,2015-08-28,78,0.505,0.68,7,-4.993,1,0.0714,0.0796,0.0,0.0465,0.539,168.022,235653,3
Ain't No Mountain High Enough,Marvin Gaye,United,1967-08-29,88,0.663,0.6,7,-10.87,1,0.032,0.43,0.0,0.184,0.8,129.991,151667,4
Ain't No Sunshine,Bill Withers,Just As I Am,1971-05-01,87,0.527,0.415,4,-11.451,0,0.122,0.457,1.72e-05,0.117,0.515,78.169,125093,4
Work Out,J. Cole,Cole World: The Sideline Story,2011-09-27,85,0.831,0.427,2,-6.903,1,0.106,0.0531,0.0,0.307,0.216,93.004,235320,4
Cole World,J. Cole,Cole World: The Sideline Story,2011-09-27,57,0.695,0.768,5,-8.819,0,0.136,0.00137,0.0,0.0964,0.499,156.974,184587,4
Can't Get Enough,J. Cole,Cole World: The Sideline Story,2011-09-27,73,0.768,0.62,2,-7.399,1,0.0658,0.139,0.0,0.521,0.589,132.035,225960,4
She Knows (feat. Amber Coffman & Cults),J. Cole,Born Sinner (Deluxe Version),2013-06-18,78,0.766,0.74,1,-10.363,1,0.0807,0.0193,0.0784,0.229,0.183,118.008,296520,4
THE SCOTTS,THE SCOTTS,THE SCOTTS,2020-04-24,78,0.716,0.537,0,-7.648,0,0.0514,0.233,0.0,0.157,0.28,129.979,165978,4
OUT WEST (feat. Young Thug),JACKBOYS,JACKBOYS,2019-12-27,79,0.802,0.591,8,-4.895,1,0.225,0.0104,0.0,0.196,0.309,139.864,157712,4
Wyclef Jean,Young Thug,JEFFERY,2016-08-26,64,0.863,0.576,5,-5.687,0,0.239,0.124,0.0,0.143,0.832,132.054,236293,4
Check,Young Thug,Barter 6,2015-04-16,66,0.667,0.581,0,-5.164,0,0.323,0.0428,0.0,0.183,0.368,110.953,230693,4
Digits,Young Thug,Slime Season 3,2016-03-25,71,0.769,0.632,10,-4.228,0,0.0537,0.0325,0.0,0.116,0.294,131.932,176387,4
Apollo,St. Paul & The Broken Bones,Young Sick Camellia,2018-09-07,59,0.712,0.8,9,-5.068,0,0.0377,0.0747,0.185,0.0938,0.685,107.047,283880,4
Ophelia,The Lumineers,Cleopatra,2016-04-08,80,0.664,0.573,5,-6.519,1,0.0277,0.613,0.000363,0.0857,0.566,76.023,160097,4
Off Deez (with J. Cole),JID,DiCaprio 2,2018-11-26,64,0.836,0.579,9,-6.164,1,0.243,0.00207,0.0,0.11,0.431,85.486,213358,4
Last Call,Kanye West,The College Dropout,2004-02-10,65,0.473,0.727,8,-6.843,1,0.356,0.577,0.0,0.316,0.854,83.212,760973,4
Killing Me Softly With His Song,Fugees,The Score (Expanded Edition),1996-02-13,81,0.765,0.29,4,-17.117,0,0.139,0.0279,0.0,0.571,0.506,92.409,298773,4
Dark Fantasy,Kanye West,My Beautiful Dark Twisted Fantasy,2010-11-22,74,0.599,0.587,5,-5.919,1,0.0423,0.274,0.0,0.167,0.373,87.998,280787,4
After Party,Don Toliver,Heaven Or Hell,2020-03-13,79,0.629,0.692,5,-8.045,1,0.0376,0.00981,0.331,0.603,0.453,162.948,167916,4
No Idea,Don Toliver,Heaven Or Hell,2020-03-13,84,0.652,0.631,6,-5.718,0,0.0893,0.524,0.000579,0.165,0.35,127.998,154424,4
Cardigan,Don Toliver,Heaven Or Hell,2020-03-13,78,0.747,0.497,4,-6.542,0,0.0401,0.248,0.0,0.138,0.0663,142.046,158709,4
Surf Swag,Lil Wayne,No Ceilings,2020-08-28,58,0.49,0.749,11,-7.019,0,0.332,0.0103,0.0,0.101,0.346,97.908,249574,5
Fire Squad,J. Cole,2014 Forest Hills Drive,2014-12-09,0,0.516,0.738,11,-7.209,1,0.414,0.28,0.0,0.621,0.599,175.427,288200,4
A Tale of 2 Citiez,J. Cole,2014 Forest Hills Drive,2014-12-09,0,0.559,0.556,6,-7.844,1,0.531,0.553,0.0,0.251,0.362,189.861,269787,4
No Role Modelz,J. Cole,2014 Forest Hills Drive,2014-12-09,9,0.692,0.521,10,-8.465,0,0.33,0.301,0.0,0.0565,0.463,100.45,292987,4
Apparently,J. Cole,2014 Forest Hills Drive,2014-12-09,72,0.802,0.544,5,-9.212,1,0.0686,0.605,0.0,0.102,0.57,133.992,292865,4
Picture Me Rollin',2Pac,Greatest Hits,1998-01-01,59,0.848,0.737,11,-4.587,0,0.14,0.115,0.0,0.287,0.457,95.908,314907,4
Just the Two of Us (feat. Bill Withers),"Grover Washington, Jr.",Anthology,1985,78,0.749,0.497,10,-12.609,0,0.105,0.41,0.0499,0.0504,0.585,95.818,438493,4
You Are Not Alone,Michael Jackson,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",1995-06-16,71,0.651,0.402,11,-9.303,1,0.028,0.639,7.73e-05,0.0765,0.258,119.873,345600,4
Danza Kuduro,Don Omar,Meet The Orphans,2010-01-01,83,0.4,0.915,0,-4.89,1,0.28,0.0846,0.0,0.0503,0.878,88.917,198773,3
Viva La Vida,Coldplay,Viva La Vida or Death and All His Friends,2008-05-26,90,0.486,0.617,5,-7.115,0,0.0287,0.0954,3.23e-06,0.109,0.417,138.015,242373,4
Livin' la Vida Loca,Ricky Martin,Ricky Martin,1999,78,0.425,0.954,1,-3.756,0,0.0476,0.00414,0.0,0.0555,0.933,178.043,243160,4
Smooth (feat. Rob Thomas),Santana,Supernatural (Remastered),1999-06-15,73,0.609,0.923,9,-3.908,1,0.0338,0.16,4.73e-06,0.295,0.961,115.996,294987,4
Solid (feat. Drake),Young Stoner Life,Slime Language 2,2021-04-16,71,0.887,0.485,11,-9.358,0,0.2,0.0392,0.0,0.141,0.328,125.987,215693,4
pick up the phone,Young Thug,pick up the phone,2016-06-03,75,0.706,0.716,7,-4.263,0,0.0768,0.115,0.0,0.316,0.459,136.904,252263,4
Ghost Town,Kanye West,ye,2018-06-01,82,0.573,0.545,7,-4.247,0,0.0288,0.0969,0.0,0.329,0.297,83.378,271387,4
Violent Crimes,Kanye West,ye,2018-06-01,85,0.669,0.419,1,-6.724,0,0.522,0.376,0.0,0.187,0.0397,109.813,215320,4
FML,Kanye West,The Life Of Pablo,2016-06-10,68,0.527,0.415,5,-7.184,1,0.131,0.329,0.0,0.195,0.12,125.357,236120,4
Feedback,Kanye West,The Life Of Pablo,2016-06-10,66,0.811,0.566,8,-6.033,0,0.517,0.563,0.0,0.104,0.169,100.224,147240,4
Bad Bad Bad (feat. Lil Baby),Young Thug,So Much Fun,2019-08-16,71,0.974,0.596,6,-8.888,1,0.184,0.0976,0.0,0.151,0.892,111.959,149040,4
Lucid Dreams,Juice WRLD,Goodbye & Good Riddance,2018-12-10,86,0.511,0.566,6,-7.23,0,0.2,0.349,0.0,0.34,0.218,83.903,239836,4
All Girls Are The Same,Juice WRLD,Goodbye & Good Riddance,2018-12-10,87,0.671,0.529,0,-7.226,1,0.307,0.0769,0.000335,0.0856,0.203,161.989,165820,4
Tomioka,Jay Eazy,Tomioka,2022-07-06,4,0.723,0.558,9,-11.38,1,0.458,0.0944,0.0,0.0912,0.633,77.089,137587,4
Double Fantasy (with Future),The Weeknd,Double Fantasy,2023-04-21,78,0.6,0.567,9,-7.269,0,0.033,0.00621,8.73e-06,0.495,0.0951,119.043,268235,4
Ms. Jackson,Outkast,Stankonia,2000-10-31,84,0.843,0.806,4,-5.946,0,0.269,0.143,0.0,0.0771,0.613,94.948,270507,4
Hands on the Wheel (feat. Asap Rocky),ScHoolboy Q,Habits & Contradictions,2012-01-14,71,0.646,0.784,1,-7.471,0,0.108,0.0166,0.0,0.0721,0.179,127.839,197132,4
Paradise,Coldplay,Mylo Xyloto,2011-10-24,86,0.449,0.585,5,-6.761,1,0.0268,0.0509,8.75e-05,0.0833,0.212,139.631,278719,4
Alors On Danse - Remix - Explicit,Stromae,Alors On Danse (Remix - Explicit),2010-01-01,52,0.729,0.803,1,-5.375,0,0.118,0.216,6.41e-05,0.084,0.738,119.947,229293,4
Tous les mêmes,Stromae,Racine Carrée (Standard US Version),2013-01-01,57,0.701,0.637,5,-9.061,0,0.166,0.223,0.00219,0.279,0.647,109.959,210933,4
Maria Maria (feat. The Product G&B),Santana,Supernatural (Remastered),1999-06-15,77,0.777,0.601,2,-5.931,1,0.126,0.0406,0.00201,0.0348,0.68,97.911,261973,4
Rapp Snitch Knishes feat. Mr. Fantastik,MF DOOM,MM...FOOD,2004-11-16,80,0.728,0.832,7,-6.827,1,0.267,0.327,0.0,0.504,0.825,95.051,172893,4
Devil Eyes,Hippie Sabotage,Providence,2016-02-05,80,0.391,0.396,1,-8.621,0,0.189,0.702,0.405,0.315,0.199,99.112,131272,5
Selah,Kanye West,JESUS IS KING,2019-10-25,64,0.482,0.618,9,-5.673,0,0.197,0.647,0.000859,0.32,0.146,90.076,164620,3
Closed On Sunday,Kanye West,JESUS IS KING,2019-10-25,66,0.799,0.291,11,-7.353,0,0.0318,0.873,0.000641,0.139,0.406,97.984,151873,4
Follow God,Kanye West,JESUS IS KING,2019-10-25,78,0.529,0.9,1,-3.503,1,0.418,0.000248,1.21e-05,0.0426,0.434,180.291,104591,4
On God,Kanye West,JESUS IS KING,2019-10-25,64,0.41,0.886,9,-4.413,0,0.155,0.0671,0.0,0.461,0.393,72.577,136351,4
On Sight,Kanye West,Yeezus,2013-06-18,72,0.605,0.469,9,-3.182,0,0.327,0.487,0.0,0.28,0.515,101.601,156480,4
Blood On The Leaves,Kanye West,Yeezus,2013-06-18,68,0.397,0.69,2,-4.108,0,0.195,0.395,0.0,0.101,0.36,172.073,359800,4
Black Skinhead,Kanye West,Yeezus,2013-06-18,77,0.766,0.809,1,-6.123,1,0.279,0.0011,0.0,0.168,0.325,130.127,188013,4
Don't Play (feat. The 1975 & Big Sean),Travis Scott,Don't Play (feat. The 1975 & Big Sean),2014-08-18,61,0.681,0.729,0,-3.99,1,0.0326,0.00203,0.0,0.148,0.101,128.014,285954,4
Dance Now (feat. Kenny Mason),JID,The Forever Story (Extended Version),2022-10-31,72,0.786,0.475,1,-10.902,1,0.248,0.0919,9.6e-06,0.176,0.264,135.0,227556,4
Raydar,JID,The Forever Story (Extended Version),2022-10-31,66,0.596,0.59,4,-7.625,0,0.38,0.0582,3.26e-06,0.103,0.453,156.924,204909,4
goosebumps,Travis Scott,Birds In The Trap Sing McKnight,2016-09-16,89,0.841,0.728,7,-3.37,1,0.0484,0.0847,0.0,0.149,0.43,130.049,243837,4
CAN'T SAY,Travis Scott,ASTROWORLD,2018-08-03,80,0.702,0.708,10,-5.366,0,0.0547,0.201,0.0,0.118,0.713,147.98,198408,4
